Year,Total Rain,Total Rainfall SeasonA,StartSeason_A,EndSeason_A,Length_of_Season_A
1960,1195.1,1070.4,106,308,202
1961,758.7,732.4,100,276,176
1962,1210.5,1105.3,96,323,227
1963,1527.4,1433.5,96,326,230
1964,979.2,797.2,96,278,182
1965,*,1262.5,97,303,206
1966,*,*,155,*,*
1967,*,*,168,*,*
1968,*,*,104,*,*
1969,*,*,*,*,*
1970,*,*,126,*,*
1971,*,1288.9,118,*,*
1972,1007.7,895.3,96,306,210
1973,*,*,135,*,*
1974,*,*,130,*,*
1975,1218.2,1123.9,97,298,201
1976,*,869.6,121,*,*
1977,983.1,964.8,110,310,200
1978,907.8,792.2,93,280,187
1979,1077.6,1052.2,107,312,205
1980,1276.2,1205.1,102,328,226
1981,994.7,935.9,121,301,180
1982,930.6,887.3,100,305,205
1983,800.1,717,92,278,186
1984,1232.1,1172.5,100,278,178
1985,1235.1,1124.6,92,305,213
1986,1141.9,1058.3,100,300,200
1987,*,*,94,*,*
1988,1189.8,1102.5,101,295,194
1989,1250.5,1216.4,121,311,190
1990,868.1,838.3,101,293,192
1991,1262.6,1206.5,100,315,215
1992,1016.3,988.5,94,303,209
1993,1229.4,1177.4,92,311,219
1994,1136.6,1078.9,107,319,212
1995,1152.6,1088.4,107,316,209
1996,1317.7,1234.3,95,316,221
1997,*,925.2,95,*,*
1998,716.3,698.5,95,299,204
1999,1274.8,1198.8,111,313,202
2000,1120.4,1097.2,101,304,203
2001,746.5,689.3,107,293,186
2002,1009.4,980.1,97,302,205
2003,1126.9,1071.1,97,303,206
2004,1085.4,1009,106,288,182
2005,1077.3,969.2,121,302,181
2006,973.3,901.9,123,275,152
2007,996.3,933.8,92,312,220
2008,1377.9,1256.9,109,305,196
2009,1142.7,1122.4,118,322,204
2010,1290.2,1247.9,96,325,229
2011,1087.1,1040.3,129,308,179
2012,1013.3,956.9,110,297,187
2013,861.2,785.5,106,313,207
