Year,Total Rain,Total Rainfall SeasonA,StartSeason_A,EndSeason_A,Length_of_Season_A
1960,1145.6,1044.4,101,300,199
1961,872.4,853.6,108,280,172
1962,1095.7,1055.8,107,301,194
1963,1193.7,1181.4,114,295,181
1964,*,*,*,*,*
1965,*,*,*,*,*
1966,*,*,*,*,*
1967,*,*,*,*,*
1968,*,*,*,*,*
1969,*,*,161,*,*
1970,*,*,99,*,*
1971,*,962.1,148,*,*
1972,1071.2,1063.1,101,284,183
1973,1416.5,1399.2,106,285,179
1974,931,921.3,102,290,188
1975,1047,996.2,104,300,196
1976,1188.5,1164.9,101,322,221
1977,1067,969.8,102,301,199
1978,1015.2,995.7,96,289,193
1979,1233.9,1209.1,93,298,205
1980,1113.7,1072.8,102,303,201
1981,902.8,879.8,120,294,174
1982,1050.5,976.8,116,296,180
1983,563.5,547.5,138,282,144
1984,764.1,713.1,130,291,161
1985,973.8,973.8,134,294,160
1986,1175.6,1085.4,112,302,190
1987,1005,1002.4,93,300,207
1988,914.1,904.7,108,292,184
1989,1085.7,1004.4,105,302,197
1990,*,*,109,*,*
1991,939,917.6,109,298,189
1992,970.5,954.5,99,295,196
1993,1089.5,1026.5,105,293,188
1994,1069.1,1018.9,131,317,186
1995,1262.1,1157.2,131,326,195
1996,911.5,870.9,112,301,189
1997,1140.6,1075.8,95,309,214
1998,912.3,912.3,100,293,193
1999,1218.8,1194.2,135,306,171
2000,1274.1,1252,100,307,207
2001,945.6,904.7,127,302,175
2002,1047.2,1038,111,299,188
2003,1078.5,1050.6,114,308,194
2004,*,*,117,*,*
2005,1056.1,1052.1,110,300,190
2006,1170.6,1131,114,305,191
2007,*,*,103,*,*
2008,*,*,155,*,*
2009,1065.8,1001,128,313,185
2010,1004.8,996,104,296,192
2011,980.3,970.5,110,295,185
2012,1163.8,1092.8,108,298,190
2013,730.9,712.7,138,290,152
