Year,Total Rain,Total Rainfall SeasonA,StartSeason_A,EndSeason_A,Length_of_Season_A
1960,1221.4,1212,111,301,190
1961,838.8,837.5,95,296,201
1962,1043,1021.9,108,313,205
1963,1354.7,1176,123,307,184
1964,964.6,942,136,297,161
1965,1051.5,1020.3,114,300,186
1966,1227.4,1187.3,114,303,189
1967,*,*,124,*,*
1968,1289.4,1192.7,92,298,206
1969,*,*,92,*,*
1970,911.6,911.6,99,292,193
1971,1168.3,1086.7,129,295,166
1972,848.8,828.2,101,298,197
1973,1048.8,1039.6,98,282,184
1974,*,*,128,*,*
1975,*,1024.2,122,300,178
1976,*,*,135,*,*
1977,605,576.3,154,276,122
1978,834.7,797.9,105,275,170
1979,1001.4,1000.9,146,296,150
1980,778.1,778.1,105,296,191
1981,720.2,719.7,114,276,162
1982,1037,994.8,105,292,187
1983,885.1,885.1,93,285,192
1984,*,662.3,117,*,*
1985,*,*,159,*,*
1986,941.1,920.8,156,295,139
1987,*,*,177,*,*
1988,*,*,*,*,*
1989,1388,1311.9,139,301,162
1990,807,779,146,288,142
1991,*,*,109,*,*
1992,999.8,997,124,297,173
1993,955.5,954.1,139,291,152
1994,970.5,958.3,141,323,182
1995,833.6,832.4,136,302,166
1996,1263.4,1260.8,99,305,206
1997,914.7,909.3,101,295,194
1998,1200,1180.9,110,296,186
1999,1270.4,1252.8,138,301,163
2000,1029,1027.8,127,300,173
2001,1110.4,1056.4,92,295,203
2002,858,851.6,104,301,197
2003,857.4,838.8,148,300,152
2004,829,793.3,101,281,180
2005,882.7,876.8,119,300,181
2006,965.3,955.6,114,302,188
2007,1463.9,1458.4,108,290,182
2008,918.5,885.9,133,305,172
2009,1091.1,1048.7,125,311,186
2010,1104.2,1081.7,113,304,191
2011,979,968.8,129,296,167
2012,1057.5,1024.5,119,299,180
2013,786.1,687.9,113,292,179
