Year,Total Rain,Total Rainfall SeasonA,StartSeason_A,EndSeason_A,Length_of_Season_A
1972,961.6,939,101,306,205
1973,727,720.6,107,282,175
1974,968.3,967,118,299,181
1975,859.5,835.6,124,285,161
1976,*,894.5,116,*,*
1977,*,691.4,163,298,135
1978,975.3,944.5,104,275,171
1979,1013.9,1013.9,145,290,145
1980,*,*,136,286,150
1981,*,*,114,*,*
1982,885.1,870.3,97,292,195
1983,756.3,753.2,147,287,140
1984,594.5,594.5,99,275,176
1985,885,878.1,171,293,122
1986,*,*,134,*,*
1987,901.9,845.8,172,303,131
1988,946.5,910.7,116,288,172
1989,1216.7,1100.8,140,301,161
1990,834.9,799.9,129,279,150
1991,960.9,904.5,109,301,192
1992,1184.8,1181.5,124,297,173
1993,833.7,833.7,139,280,141
1994,998.6,998.6,120,322,202
1995,831.1,802.9,147,295,148
1996,1069.7,1063.6,112,306,194
1997,834.7,826.6,101,290,189
1998,997.5,950.3,110,298,188
1999,1275.9,1256.7,118,310,192
2000,799.2,796.7,144,280,136
2001,1031.2,1010.3,123,293,170
2002,832.3,829.3,129,300,171
2003,925.8,920.9,129,301,172
2004,775.8,756.8,101,276,175
2005,732.9,729.9,107,288,181
2006,910.6,905.6,114,303,189
2007,1110.8,1110.8,108,290,182
2008,720.8,703.2,133,295,162
2009,1100.8,1072.8,106,292,186
2010,985.9,980.3,113,302,189
2011,784.9,777.9,114,290,176
2012,*,*,276,*,*
2013,821.4,740.3,131,292,161
