Year,StartDate,Start,EndDate,End,Length,Rainfall
1927, null, null, null, null, null,  null
1928,354,172,96,280,109,858
1929,346,164,79,263,100,755
1930,330,148,109,293,146,962
1931,353,171,117,301,131,931
1932,328,146,87,271,126,861
1933,362,180,94,278,99,879
1934,341,159,91,275,117,911
1935,317,135,121,305,171,1193
1936,321,139,121,305,167,1004
1937,341,159,105,289,131,916
1938,340,158,111,295,138,1088
1939,357,175,86,270,96,955
1940, null, null,39,223, null,229
1941, null, null, null, null, null,  null
1942, null, null, null, null, null,  null
1943, null, null, null, null, null,  null
1944,367,185,103,287,103,738
1945,337,155,104,288,134,1137
1946, null, null, null, null, null,  null
1947,363,181,113,297,117,1353
1948,353,171,120,304,134,1176
1949,386,204,100,284,81,539
1950,356,174,119,303,130,1671
1951, null, null, null, null, null,  null
1952,362,180,107,291,112,942
1953,355,173,117,301,129,1134
1954,356,174,112,296,123,612
1955,336,154,110,294,141,1281
1956,358,176,120,304,129,1323
1957,376,194,114,298,105,1177
1958,366,184,121,305,122,903
1959,417,235,88,272,38,889
1960,371,189,120,304,116,890
1961,374,192,118,302,111,1119
1962,340,158,119,303,146,1092
1963,341,159,121,305,147,1128
1964,338,156,112,296,141,1010
1965,386,204,121,305,102,1063
1966,355,173,103,287,115,1092
1967,380,198,119,303,106,1194
1968,373,191,112,296,106,698
1969,347,165,121,305,141,1178
1970,368,186,101,285,100,1000
1971,364,182,106,290,109,1037
1972,349,167,119,303,137,966
1973,369,187,121,305,119,922
1974,364,182,119,303,122,1152
1975,369,187,109,293,107,812
1976,366,184,121,305,122,1182
1977,379,197,118,302,106,861
1978,378,196,121,305,110,1384
1979,379,197,121,305,109,1147
1980,404,222,108,292,71,791
1981,378,196,121,305,110,893
1982,444,262,102,286,25,546
1983,408,226,114,298,73,830
1984,389,207,121,305,99,557
1985,418,236,121,305,70,869
1986,367,185,112,296,112,1150
1987,409,227,118,302,76,1092
1988,410,228,116,300,73,772
1989,400,218,117,301,84,1188
1990,371,189,106,290,102,964
1991,417,235,102,286,52,646
1992,393,211,120,304,94,313
1993,452,270,118,302,33,428
1994,421,239,89,273,35,279
1995,418,236,107,291,56,336
1996,395,213,119,303,91,663
1997,400,218,104,288,71,827
1998,377,195,111,295,101,1000
1999,400,218,118,302,85,628
2000,426,244,117,301,58,438
2001,359,177,115,299,123,1154
2002,409,227,116,300,74,851
2003,396,214,109,293,80,888
2004,391,209,121,305,97,875
2005,388,206,118,302,97,947
2006,408,226,116,300,75,1041
2007,377,195,116,300,106,790
2008,360,178,102,286,109,866
2009,404,222,121,305,84,888
2010,434,252,120,304,53,515
2011,388,206,118,302,97,800
2012,430,248,121,305,58,664
2013,409,227,113,297,71,859
2014,391,209,121,305,97,647
2015,435,253,118,302,50,513
2016, null, null,119,303, null,314
2017,391,209,112,296,88,605
2018,409,227,121,305,79,747
2019, null, null, null, null, null,  null
