Year,Start,StartDate,End,EndDate,Length,Rainfall
1967,141,323,297,113,156,1078.7
1968,142,324,294,110,152,625.5999992
1969,139,321,287,103,148,1340.899999
1970,155,337,290,106,135,845.9999988
1971,124,306,276,92,152,1224.3
1972,132,314,302,118,170,1009.199999
1973,127,309,284,100,157,904.4999995
1974,159,341,301,117,142,1241.7
1975,131,313,294,110,163,917.2999983
1976,138,320,286,102,148,1292.700002
1977,158,340,262,78,104,1277.700002
1978,145,327,298,114,153,1322.400001
1979,112,294,290,106,178,826.4999993
1980,125,307,290,106,165,1096.3
1981,156,338,300,116,144,910.1999996
1982,161,343,296,112,135,1031
1983,135,317,266,82,131,728.2999995
1984,156,338,302,118,146,1129.8
1985,117,299,283,99,166,1437.200002
1986,133,315,296,112,163,1290.799999
1987,115,297,292,108,177,1105.2
1988,145,327,293,109,148,1069.3
1989,155,337,302,118,147,1189.8
1990,142,324,264,80,122,861.4999993
1991,172,354,280,96,108,899.1999996
1992,null,null,null,null,null,null
1993,138,320,300,116,162,1115.599999
1994,136,318,270,86,134,825.1999991
1995,155,337,269,85,114,596.7000003
1996,141,323,280,96,139,1233.799999
1997,153,335,283,99,130,1447.38
1998,146,328,283,99,137,963.0999994
1999,145,327,286,102,141,1611.999999
2000,120,302,284,100,164,1022
2001,122,304,278,94,156,1237
2002,163,345,291,107,128,1619.199999
2003,158,340,275,91,117,1117.24
2004,180,362,295,111,115,833
2005,177,359,242,58,65,639.1999998
2006,132,314,287,103,155,1266
2007,136,318,295,111,159,1207.099999
2008,155,337,255,71,100,1037
2009,163,345,266,82,103,1087.199999
2010,140,322,291,107,151,1210.3
2011,147,329,283,99,136,1066.7
2012,165,347,276,92,111,716.3999996
2013,163,345,243,59,80,1039.4
2014,142,324,251,67,109,841.9999995
2015,162,344,295,111,133,1546.699999
