Year,StartDate,Start,EndDate,End,Length,Rainfall
1979, null, null, null, null, null,  null
1980,385,203,110,294,92,932
1981,340,158,89,273,116,959
1982,365,183,62,246,64,840
1983,339,157,75,259,103,843
1984,351,169,94,278,110,562
1985,346,164,98,282,119,1199
1986,316,134,58,242,109,644
1987,372,190,101,285,96,733
1988,372,190,84,268,79,873
1989,347,165,92,276,112,1188
1990,369,187,108,292,106,889
1991,365,183,93,277,95,855
1992,357,175,95,279,105,370
1993,360,178,96,280,103,688
1994,381,199,83,267,69,471
1995,379,197,72,256,60,426
1996,381,199,90,274,76,913
1997,360,178,114,298,121,957
1998,357,175,88,272,98,725
1999,372,190,98,282,93,825
2000,387,205,95,279,75,908
2001,394,212,112,296,85,1062
2002,362,180,100,284,105,960
2003,365,183,109,293,111,1277
2004,404,222,116,300,79,572
2005,349,167,79,263,97,821
2006,386,204,110,294,91,852
2007,352,170,110,294,125,900
2008,362,180,94,278,99,1080
2009,353,171,116,300,130,1035
2010,383,201,103,287,87,875
2011,397,215,106,290,76,780
2012,369,187,118,302,116,859
2013,395,213,97,281,69,766
2014,374,192,104,288,97,816
2015,392,210,119,303,94,918
2016,421,239,111,295,57,342
2017,370,188,115,299,112,551
2018, null, null, null, null, null,  null
1967,380,198,119,303,106,1194
1968,373,191,112,296,106,698
1969,347,165,121,305,141,1178
1970,368,186,101,285,100,1000
1971,364,182,106,290,109,1037
1972,349,167,119,303,137,966
1973,369,187,121,305,119,922
1974,364,182,119,303,122,1152
1975,369,187,109,293,107,812
1976,366,184,121,305,122,1182
1977,379,197,118,302,106,861
1978,378,196,121,305,110,1384
1979,379,197,121,305,109,1147
1980,404,222,108,292,71,791
1981,378,196,121,305,110,893
1982,444,262,102,286,25,546
1983,408,226,114,298,73,830
1984,389,207,121,305,99,557
1985,418,236,121,305,70,869
1986,367,185,112,296,112,1150
1987,409,227,118,302,76,1092
1988,410,228,116,300,73,772
1989,400,218,117,301,84,1188
1990,371,189,106,290,102,964
1991,417,235,102,286,52,646
1992,393,211,120,304,94,313
1993,452,270,118,302,33,428
1994,421,239,89,273,35,279
1995,418,236,107,291,56,336
1996,395,213,119,303,91,663
1997,400,218,104,288,71,827
1998,377,195,111,295,101,1000
1999,400,218,118,302,85,628
2000,426,244,117,301,58,438
2001,359,177,115,299,123,1154
2002,409,227,116,300,74,851
2003,396,214,109,293,80,888
2004,391,209,121,305,97,875
2005,388,206,118,302,97,947
2006,408,226,116,300,75,1041
2007,377,195,116,300,106,790
2008,360,178,102,286,109,866
2009,404,222,121,305,84,888
2010,434,252,120,304,53,515
2011,388,206,118,302,97,800
2012,430,248,121,305,58,664
2013,409,227,113,297,71,859
2014,391,209,121,305,97,647
2015,435,253,118,302,50,513
2016, null, null,119,303, null,314
2017,391,209,112,296,88,605
2018,409,227,121,305,79,747
2019, null, null, null, null, null,  null
