1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,0,14.2,21.1,9.7,8.6,0.5,0.8,1.5,0,0,0,0.8,0,1.3,1,0.5,0,0,0,6.4,0,14.2,0,1.8,0,15.2,0,0,0,15.7,0,6.4,0,0,0,0,0,0,26.9,0,0,0,0,0,1.4,0,0,0,0.1,0,0.0,0.0,0.0,28.2,0.0,14.3,0,0.6,40.6,12.5,15.7,0,0,9.2,12.7,0,6.7,0,0,53.8,0,4.9,0,6.8,0
0,31.8,0,0,15.7,43.9,0,0,0,0,14,0,0,0,0,0,55.4,0,0,0,0,0,0,0,0,0,86.9,16,20.1,5.6,0,0,5.6,0,0,0,0,0,0.8,2.3,4.1,0,0,0,7.3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,2.0,0,0.1,0.0,11.0,30.5,0,0,6.9,18.2,0,6.4,0,0,80.5,0,0,0,6.3,0
15.5,9988,9988,9988,17.8,9988,9988,9988,0.3,9988,9988,9988,10.4,9988,9988,9988,3,9988,9988,9988,1.5,9988,9988,9988,0,9988,9988,9988,0,9988,9988,9988,0,9988,9988,9988,0.8,9988,9988,9988,0,9988,9988,9988,0,9988,9988,9988,4.4,9988,9988,9988,0.0,9988,9988,9988,9.3,9988,9988,9988,8.2,9988,9988,9988,7.6,9988,9988,9988,6.2,9988,9988,9988,0,9988,9988,9988
7.1,1.5,0,1,14.7,0,0,0.3,32.3,0,10.4,0,0,0,0,0,35.6,5.3,0,6.6,0,0,2.3,0.5,0,0,4.3,0,17.3,0,0,0,0,0,0,4.6,0,0.8,0.5,35.6,0,0,0,0.5,0,0,0,0,12.9,2.2,0.0,0.0,0.0,0.0,7.2,1.6,0.0,2.8,0,0.0,0.0,19.3,0,0,21.2,9.3,0,0,8.4,17.3,0,0,2.6,0,0,0
1.8,0.3,0,2.8,1,0,0,1.3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.6,0.8,0,4.8,0,0,0,0,0,81,0,0.3,0,0,0,0,0,0,0,0,164.9,41.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.2,0.0,0.0,0,3,0,17.7,1.4,0.6,0,0,0,11.9,0,2.6,0,0,43.8
1.5,0,0,4.6,4.3,0,0,12.4,0,7.9,2.5,0,0,25.9,0.3,0.5,0,0,19.8,21.8,0,2.8,0,77.5,0,0,0,1.3,0,0,0,0.5,0,0,0,0,1.5,24.1,0,0,0,0,0,0,0,1.5,0,0,0,13.7,0.0,0.0,0.0,0.0,3.4,0.0,0.0,19.5,2,0.0,0.0,0,0,0,30.2,2,0.5,0,8.9,3.3,18,0,0,7.8,0,30.5
0,0,0,1.3,1.8,0,3,2.5,1.3,0,14.2,0,28.4,15.2,1.8,33,0,0,65,0,0,0,0,9.1,0,5.1,0.3,1.3,0,0,6.1,0.5,0,0,11.4,0,0,0,0,17.8,0.5,0.8,0,0.5,7.1,2.8,7.6,0,0,39.3,0.0,0.0,6.2,0.0,0.0,0.0,51.0,0,0.3,0.0,0.0,1,0,0,8.9,1.1,13.7,0,0,0,9.7,0,0,0,7.6,0
0,0,0.5,0,27.2,0,1.5,59.4,0,0,0,0,17.5,2.3,14.7,19.6,0,0,2,0,0,0,0,51.3,0,2,0,5.3,0,9.7,0,0,0.3,0,59.7,0,0.8,0,15.7,1.5,78,58.2,0,0,0.1,0,2.3,0,0,48.5,0.0,19.2,0.0,0.0,0.5,6.4,0.0,0,0.3,0.0,10.0,14.8,0,0,13.5,1,5.3,32.9,1.3,0,0,0,2.2,0,0,0
0.5,0,0,0,29,0,3.6,56.9,0,0,1.5,0,1.3,5.3,0,1,75.2,22.9,0,0,0,0,0,2,0,0,0.8,0,0,32.5,0,0,0,0,0,1,0.5,18.5,15.7,0,12.4,5.6,36.8,0,0.1,0,106.3,0,7.1,36.1,0.0,4.9,0.0,0.0,0.0,2.8,0.0,0,1.2,0.0,0.0,0,0,0,13.9,0.1,3.7,4.6,6.3,2.4,5.6,0,3.6,0,0,0
0,0,0,0.8,40.1,0,39.9,55.6,20.8,0,0,0,0,1.5,0,0,0,37.1,0,0.3,4.8,11.9,0,0.8,0,0,0,0.3,0,42.7,0,0,0,0,0,3.6,0,46.5,0,4.1,3.6,2,2.8,0,0,48.2,0,0,10.2,19.7,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0,2.7,0.0,32.5,22.9,0,0,7.3,1.1,29.9,72.2,1.2,45.2,14.3,0,2.5,0,0,4.7
5.1,0,20.3,17.3,5.3,0,23.4,24.6,14.5,0,0,0,0,0,4.3,0,0,0,0,0,19.8,59.4,0,1.3,0,17.3,0,0,0,0,0,0,0,0,0,0,0,6.6,0,4.3,27.2,0,0,0,9.1,18.7,5.6,0,0,31.9,0.0,9.8,0.0,2.8,0.0,4.3,0.0,0,2.6,0.0,6.8,0,0,81,4.3,1.2,9.5,16.9,2.5,0,0,12.3,0,0,0,0
0.8,0,1,12.4,0,0,19.8,0,0.5,0,3.6,3.8,0,5.1,7.1,0,0,21.1,0,0,5.1,0,0,5.1,14.2,28.2,7.1,0,1,2.5,0,2.5,11.7,0,0,19.1,0,1.3,0,5.3,1.8,0,0,2,33.6,1.5,0,0,0,0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0,5.7,0.0,0.0,53.7,13.9,2.3,10.2,1.3,0,12,12.2,0.4,0,26.7,0,0,0,0
68.6,0,9.7,3.6,2.8,4.6,65.3,0.8,1,0,0.8,1,0,0.8,7.4,2.3,0,6.4,3,0,7.6,1.3,0,102.6,49,10.7,0,0,21.1,0,0,0,9.4,0,0,0.3,0,0,7.1,5.6,0,0,0.5,0,0.4,0,1.6,0,42.8,0,1.4,65.1,2.7,0.0,0.0,0.0,52.3,0,4.6,31.9,0.0,0,5,0,8.4,2.9,1,23.6,0,0,0,88.3,0,3.4,0,0
7.1,0,3.8,0.5,0,8.6,64.3,12.7,3,0,0,0,0,0,2.8,6.9,0,0,0,39.9,1.8,0,0,19.8,0.3,0.8,0,0,15.2,32,3.8,0,0,0,6.9,0.5,0,0,0,3,7.1,0,0,5.6,5.5,0,0,0,74.3,0,0.0,6.2,0.0,1.3,0.0,1.1,0.0,0,6.2,0.0,1.4,0,0,0,2.9,7.8,0,0,0,0,0,5.7,0,2.4,0,0
13.2,25.4,0,8.1,0,20.3,6.9,0,0,0,0,0,0,0,2.8,0.8,0,3,0,21.1,0,0,0,0.5,0.3,0.5,0.3,0,0,1.3,0,35.1,0,0,0,0,26.4,10.4,49.8,0,2,1.8,0,0.5,0,0,0,0,21.1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,62.8,5,0.0,99.9,0,0,0,0.2,10.2,1.4,0,0,0,0,0,0,0,0,0
0,8.9,0,18.8,0,0,8.1,0,0,0,0,0,0,0,0,4.3,0.5,7.4,0,2.8,0,0,0,0,0,8.6,1.5,0.5,0,0,2.5,11.7,0,0,6.6,0,0,14.5,14.2,0,7.6,0,0,0.3,0,0,0,0,0.2,0,0.0,17.3,11.6,0.0,0.0,0.0,0.0,0,8.6,30.4,16.3,12.2,0,0,2.9,2.2,0,0,0,0,0,0,0,0,0,0
0,0,6.9,10.2,0,0,7.1,0,19.6,35.6,0,0,21.1,0.3,0,0,0,0,0,1.3,0,0,10.9,0,0,0.3,8.4,57.2,0,2,2.5,7.4,0,0,1.5,10.2,5.1,11.4,16.5,0,2,0,0,0,8.1,0,0,0,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,12.4,12.2,37.8,0.0,1,0,0,11.7,0.1,0,0,0,0,0,0,0,0.6,18.4,0
0,0,0,6.9,0,0,5.3,27.9,0,6.4,1.3,0,0,3.8,0,0,0,0,0,0,0,0,17.3,0,0,0,0,0,2,0,0,0,0,0,0,1.8,0,0,3.3,0,0,0,0,0,10,0,0,0,120.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,9.8,0.0,0.0,0,2.3,0,6.3,0.2,0,0,0,0,5.9,37.8,0,0,0,0
0,0,0,0,3.6,2,17.8,37.1,0.3,0,0,0,0,0.5,0,0,0,0,0,0,0,0,6.4,1,0,0,0,0,0,33,0,0,5.3,4.3,0,2.8,11.7,39.1,0,2.5,0,6.9,0,0,5.9,0,0,0,24.6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,9.2,0.0,0.0,0,0,0,2.9,1.9,0,0,40.2,0,3.2,18.9,0,0,0,0
0,0.5,0,4.1,8.1,1.8,3.3,1.5,0,0.5,0,0,0,0,0,4.3,4.1,0,6.1,0,0.5,0,40.6,0,0,0,0,0,0,0,0,0,0,5.6,0,1.8,0.5,0,0,0,0,22.6,0,0,0,38.1,0,0,15.3,0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0,3.1,0.0,0.0,20.8,0,0,0.6,1.2,11.5,0,21.8,0,0,2.6,0,0,0,0
0,16.8,0,9.9,14,0,7.1,0.8,0,1.5,11.7,1.8,0,0,0,5.1,0,0.8,0,0,0.3,3.8,0,0,0,0,0,0,0,2.8,0,0,0,13.5,0,0,0,5.6,14.2,6.1,0,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.6,0.0,0.0,3.5,0,0.2,0.0,1.4,1.5,0,0,0.2,2.8,4.9,0,0,19.9,0,0,29.2,0,2.5,0
0,0.3,0,0,0,7.4,3.6,0,0,0,0,6.9,0,0,1.8,3.6,0.3,0,0,6.1,57.4,0,1,0,0,0,0,0,0,0,0,0,0,23.4,13.2,0,19.1,0,0,2.8,0,0,0,0,0,0,0,0,0,0.8,14.7,0.0,0.0,0.0,8.3,0.0,10.0,0,1.5,0.0,0.0,92.7,0,0,0.5,7.7,0,0,0,2.4,0,0,0,0,0,0
0,0,10.2,0,0,9.7,0,0,0.5,0,0,0,0,0.8,0.3,3.3,1.5,0,0,1.8,3.3,0.3,2.8,2.3,0,1.5,0,0,0.8,0,0,0,20.3,47.8,18,0,2,0,3.6,0,0.8,0,0,0,0,2.5,2.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,7,0.0,0.0,0,5.2,25.5,2.9,1.4,0,0,0,23.3,0,0,0,1.1,0,0
0,0,1.3,0,0,0,1,0,1.3,0,0,0,0,4.6,0,3.8,2,0,0,0,2.8,0.8,1.3,9.4,0,12.2,0,0,15,3.8,0,1.8,0,0.5,2,0,3.8,0,0,0,0,0,24.4,0,0,21.4,2.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,55.5,0.8,65.5,4.8,8.2,4.8,0,4.4,1.6,1.2,0,0,2.5,0,0,0,0,2.9,0
0,0,0,0,1.3,1.3,4.1,19.1,0,0,0,0,0,1.5,0,3,6.9,0,0,0,0,0,11.2,2.8,0,0.3,0,0,7.4,21.8,0,0,0,0,1.5,0,0,3,0,0,0,0,11.4,0,0,3.1,25.8,0,6.5,0.4,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,7.4,21.8,7.2,5.6,0,0,2.6,0.3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,10.4,2,0,9.1,0,1.3,0,3.3,0,3.8,0,1.3,0,0,0,0,0,30.2,1.3,0,0,0.5,0,0,0,4.8,0,0.5,0,0,0,0,15.7,1,0,0,0,0,0,0,0,1.1,0.1,0,0,60.1,0.0,22.5,18.0,25.9,0.0,0.0,0.0,4.8,11.8,0.0,8.9,2.1,0,0,2.6,0.4,5,0,0,0,0,25.3,0,0,0,0
0,0,0.5,1.5,0.5,0,10.4,1.5,0,1.5,0,0,0,3.8,0,0,0,17.5,0,0,6.6,0,7.1,0,0,14.7,0,0,0,0,0,0,2.3,0,0,0,15.2,0,37.3,0,0,0,2.8,0,0,13.1,1.6,2.6,0,1.2,0.0,34.1,4.8,7.3,0.0,0.0,0.0,0,1.1,0.0,0.0,0,0,29.3,2.5,2.7,1,0,0,0,0,0,0,0,0,0
3,0,0.3,0,0.3,0.5,20.3,0,1,6.6,0,8.4,0,0,0,8.6,0,0,0,0.3,0,5.6,15,0,0,1.3,0,0,1.3,0,3,0,2.8,0,0,5.3,22.9,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0.0,15.2,0.0,29.7,50.0,0.0,0.0,0,1,0.0,0.0,0,0,61.5,3.4,0.5,0,13.4,2.9,0,0,0,18.8,0,14.7,0
0.3,0,0,0,0,3,15.2,0,0,0,0,0,0,0,0,4.1,2.5,0,0,0,0,0.3,5.8,2.3,0,0.3,0,0,9.7,0,0,3.8,0,0,0,0,21.8,0,11.9,0,0,0,0.8,0,0,3,1.3,3.5,0,0,0.0,3.3,0.0,0.0,3.3,0.0,0.0,0,1.5,0.0,0.0,0,0,23.4,2.8,0,0,0,0,0,0,0,0,1,0,0
1.3,0,0,0,0,0,0.5,0,0,1.5,0,0,0,0,0,0.5,18.3,0,9.1,0,0,10.9,37.1,0.8,0,1,0,0,0.5,0,0,0.3,2,0,3.3,2.8,0.5,0,0.8,0,0,0,0,0.5,0,0,1.6,8.1,2.3,0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,0,1.3,97.4,0.0,0,0,5.5,0.4,0,0,0,0,0,0,0,0,0,0,0
1.8,0,0,0,0,0,0.5,1.3,2,3.6,0,0,0,0.3,0,0,0.3,0,0,0,0,0,4.1,3.3,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0.5,19.1,1.9,0,0,0,0,99.0,0.0,0.0,0.0,4.3,1.2,0.0,0,0.7,69.9,0.0,0,1,2.3,1,0.7,54.5,0,0,0,0,0,0,0,0,0
0,0,0,0,0.8,0,0,4.6,2.5,8.1,0.8,0,0,0,0,18,0,0,0,0,0,19.3,2.5,0,0,0,0,0,0,0,4.8,0,0,0,0,0.8,0,0,0,0,0,1.3,0,0,0,16.3,0,0,0.4,0,9.5,0.0,0.0,0.0,0.0,4.0,0.0,0,0,12.3,0.0,0,4.8,13.5,4.5,0,17.4,0,0,0,0,0,0,0,0,0
0.5,0.3,0.5,0,0,0,0,0.3,14.2,0,0,0,0,0,4.3,0,13,0,0,0,0,3.6,0,0.3,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,46.2,0,14.2,0,0,4.2,0.5,0,0,0,0,0.0,0.0,0.0,0.0,3.6,0.0,2.1,0,0.2,15.8,0.0,0,9.7,0,8.1,0.7,1,0,0,3,0,0,0,0,0,7.5
0.3,0,0.8,0,0,0,2,0,0,0,2.5,0,0,2.3,0.5,0,6.1,0,0,1,0,0,0,0,0,0,2.3,0,0,0,0,0,0,39.9,18.8,20.3,0,0,0,0,0,0,0,0,0,0,4.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,88.9,0.1,10.9,0.0,0,0,0,10.9,0.1,0,0,0,0,0,0,0,0,0,3.5
0,0,0,0,0,0,0.8,3.3,5.1,0,0,0,0,2,0,0,0.3,0,0,0,0,0,0,0,0,0.5,7.6,0.7,0,0.3,0,0,4.6,8.1,4.3,0,0,0,0,0,0,0,0,0,0.8,0.4,1.8,2.1,0,24.7,0.0,0.0,0.0,0.0,0.0,28.3,0.0,0,0.4,7.8,0.0,0,0,0,5.5,0,0,0,0,0,0,0,11.2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,2.3,0,0,0,0,0,0,0,0,0.8,4.3,0,0,5.6,0,0,0,0,2.8,0,15.2,0,8.1,1.3,0,0,0,0.5,2,3.9,1.7,0.4,0,3.5,0.1,0.0,0.2,0.0,0.0,2.1,0.0,0,0.7,5.0,4.0,0,0,0,3.3,0,0,0,0,8.4,0,0,10.1,0,0,0
0,0,0,0,0,0.5,0,2.5,0,0,0,0,0,0,2.8,0,9.7,0,0,0,0,0,0,0,0,0,0,1.2,0,17.3,0,0,0,0,3,0,1,0,0.8,0.5,0,0,0,0,0,1.8,35.7,0,0,0,0.3,0.0,1.9,0.0,0.0,1.0,0.0,24.6,0.4,21.0,1.6,0,0,0,1.1,0.4,2.5,0,0,28.4,0,9.7,0,22,0,0
15.5,0,0,6.4,0,0,0,0.8,0,2.8,0,0,0,0,0,0,5.6,0,0,0,0,0,1.5,0,0,0,0,0.4,0,0,0,0,0.5,0,25.9,0,0,0,20.6,0,0,0,0,0,0,0,0.5,0,0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3,60.6,0.0,2.5,0,12.5,3.4,0.1,0,0,0,1.2,0,0,0,42.3,0,0
2.3,0,0.5,13.2,0,0,0,18.8,0,37.6,0,0,0,1.5,0,0,29,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0.3,0,0,0,1.3,0,1.1,0,1.8,0,0,2.1,0.4,0.0,0.0,0.0,0.0,3.4,1.6,1,0,9.2,18.2,35.8,0,7.5,1.8,0.8,0,0,0,0,0,0,0,0,0,0
0,0,0,0,13.5,0,0,1.3,0,20.6,2.8,0,0,1.5,0,0,30,25.9,0,0,0,0,8.4,0,0,0,0,0,2.8,22.9,0,0,35.8,56.6,0,0,0,0,0.5,0,0,0,0.3,0,0,0,0,0,0,2.3,0.1,0.0,0.0,0.0,0.0,0.1,2.8,0,2.3,11.6,0.0,8.9,0,0,3.2,0.6,0,0,0,0,0,3.5,0,0,0,0
9.9,0,1.5,0,0,0.8,3,0,10.7,0,1,0,0,0,0,3.3,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,3.3,0,0,5.1,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0.0,19.4,0.0,0.0,0.0,0.0,0.0,64.8,2.7,8.0,0.0,0,13.3,0,6.1,1.3,0,0,0,0,0,0,0,0,0,5.6
3.3,0,0,1.3,0,0,0.5,0,9.9,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,23.4,0,0,14.2,0,0,0,0,0,0,0,0,0,0,0,4.7,0,0,0,0,0.0,0.3,0.0,2.8,0.0,0.0,2.9,2,1.6,10.9,0.0,0,3.2,0,2.8,0.9,0,0,0,0.3,0,0,0,0,0,0
0.3,0,1.8,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,43.2,0,3,0.5,0,0,3.3,0,0,0,0,6.1,0,0,0,0.4,0,0,0,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0,1.6,0.0,2.2,0,1,0,0.7,0.6,0,0,0,0,0,0,0,0,0,17.2
1.8,0,8.1,0,0,0,10.2,0,0,0,0,0,0,0,0,0,37.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6,0,0,0,3.2,0,0,0,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,3.7,10.0,5.4,0,0,0,0.3,0.4,0,0,0,0,0,0,23.9,0,5.6,0
1.3,0,3.6,0,0,0,0,0,0,0,0,0,2.8,0,2.3,0,0,0,0,0,13,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,28.7,0,0,2,0,0,0,1.3,0,0,0,0,0.9,6.1,0.0,1.3,0.0,1.4,0.0,0,0.8,0.0,2.8,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.5,0,0,0,0,1,4.6,0,62.2,0,23.6,0,0,0,9.1,1,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,85.1,0,0,0,0,2.5,0,0,7.8,0,0.1,0.7,0.0,0.0,24.2,0.0,0.0,0,0.1,7.8,0.0,0,0,2.5,5.5,0,0,0,0,0,6.9,0,0,7.5,0,0
0,0,2.3,0,0,0,0,0,7.9,0,0,0,0.5,0,2.5,0,22.1,4.1,0,0,0.3,0,0,0,0,0,0,0,3.8,0,0,0,0.5,0,0,0,0,2.8,0,0,0,0,1.3,0,0,0,0,0,14.4,0.6,0.1,1.2,0.0,0.0,0.0,0.0,0.0,0,0,5.4,0.0,0,0,0.7,3.4,0.2,0,1.7,0,0,0,0,0,0,0,0
0,0,2.5,0,0,0,0,0,12.7,0,0,0,0,0,0,2.5,0.3,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0.5,0,0,1.2,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1,0.1,8.0,0.0,0,0,2.3,0.4,0.1,0,0,0,0,0,0,0,0,0,0
0,0,1.3,0,0,0.5,0,15.5,3,0,0,0,0.5,0,0,9.9,0.3,0,0,1.8,0.3,0,5.1,0,0,15.5,0,0,4.3,0,1,0,0,0,0,0,0,0,0,19.1,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7,6.0,0.0,0,0,2,0.3,0.4,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,1.3,0,0,4.6,0,0,2.5,0,0.5,2.3,0,0,0,0,0,0,0,9.7,0,0,0,0,35.8,11.7,0,0,0,0,0,0,0,19.6,0,0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0,0.5,0.0,0.0,0,0,0.4,4.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,7.6,32.3,2.3,0,0,0,0,0,2.5,0,0,0,0,13.7,0,0,0.8,0,0,0,0,1,0,36.1,0,1.3,0,0,0,0,16.8,0,0,1.1,0.0,0.0,4.7,0.0,0.0,0.0,0,4.8,0.0,0.0,0,0,1.7,4.5,0,0,0,0,0,0,0,0,0,0,2.4
0,0,0,4.6,0,0,1.8,0,1.3,0,0,39.4,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,3.6,0,0,0,12.2,0,0,0,0,1.5,0.8,0,0,0,1.5,0.5,2,0,0,0,0,0,0,0.4,0.7,0.0,0.0,0.6,4.2,0.1,0.0,0,2.3,0.0,0.0,0,0,2.9,4.7,0,0,0,0,0,0,1.9,0,0,0,2.2
0,0,0,0,0,0,15.2,0,0,0,0,0,2.3,0,0,0,0,3.3,0.5,0,0,0,0,0,0,0,0,1,61.7,0,0,0,0,0,0,1.5,0.8,0,5.1,0,2.3,0.5,0,0,0.5,0,0.7,0,0,0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7,0.0,0.0,0,0,3.3,7,0,9.9,0,0,0,0,0,0,0,0,0
0,0,0,0,8.1,1.3,0,0,0,0,0.8,0,2.3,7.9,0,0,3.8,5.1,0,0,0,0,0,0,0,0,16.5,0.3,0.5,0,0,0,0,0,0,0,37.6,0,0,0,0,0.7,1,0,0,5.3,0,0,0,0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,0,0,1.6,7.2,0,0,10.2,0,0,0,0,0,0,0,0
0,0,0,0,7.6,0,0,0,0,0,0,0,1.8,0,0,0,5.3,0.5,0,0,0,3,0,0.8,0,0,3,4.8,0,0,0,0,0,0,0,0,0,0,0,2.8,0,15,12.4,0,0.3,0,4.8,0,0,0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.3,4.9,0,0,0,0,7.2,0,0,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,0,0,0,0,8.6,0,1,4.1,0,7.6,2.2,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,4.6,0,0,0,0.5,2.2,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,1.6,0,0,0,0,3.4,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0,21.6,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0.5,1.8,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,3.4,0,0,0,1.0,0.2,0.0,25.9,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,2.3,5.9,0,0,0,0,0.9,0,0.6,0.0,7.1,7.3,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,2.4,0.8,0,0,0,0,15.6,0,0,1,0,0
0,0,0,5.1,0,0,0,0,0,0,0,0,7.6,0.3,0,0,0,0,0,0,36.8,1.5,0,0,0,0,0,0.2,0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2,0,0,1.8,0,0,2.7,1.3,0.1,1.3,29.7,2.3,0.0,0.0,27.5,0,0.0,0.0,0,0,0.1,3.1,1.3,3.2,0,0,0,13.4,0,0,0,0,0
0,1.5,0,6.1,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,5.8,0,7.4,0,0,0,0,0,0,0,0,0.1,0,0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,1.1,1.8,2.6,5.1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,5.6,0,0,0,0.3,1.5,0,0,0,0,0,0,0,0,1,0,0,0,5.3,31.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.5,0.0,0.0,0.0,0.3,0.0,0.0,0,0,10.9,0.0,0,0,0.9,4.9,2.9,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,0,0,0,0,0,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0.8,0,0,0,0,0,0,14.9,0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,15.8,0.0,0,0,1.1,5.1,0.9,0,0,0,0,0,0,0,0,0,0
0,0,0,0,17,0,0,0,0,0,0,0,0,0,1,1.3,4.1,0,0,0,0,0.3,0,0,6.9,0,3,0,0,0,0,0,0,0,19.3,0,0,0,0.3,0,0,27.7,0,0,8.5,0,0,0,19,25.8,1.5,0.0,0.0,0.0,0.0,0.0,1.2,0,0.2,18.7,4.8,0,0,0.6,6.2,0.8,0,0,0,0,0,10.9,0,0,0,0
0,0,0,19.8,0,6.1,3.3,7.4,2.5,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0,0.5,0.9,0,0,0,0,0,0,5.8,0,0,0,0,0,0,3,0,0,0,0,0,1.5,1.2,3.9,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0,0.3,9.8,0.0,0,0,0.1,3.4,0.1,0,0,0,0,0,4.3,0,0,0,0
0,0,0,0.5,0,9.1,0,4.8,7.6,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,0,0,4.4,0,0,0,1.6,0,0.7,0.0,0.0,3.5,0.0,0,2.5,0,0.8,5.0,0.0,0,0,0,2.3,0.4,0,0,0,0,0,0.3,0,1.7,0,
0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0.4,0,1.5,0,0.0,0.0,0.0,0.4,0.0,0,0.0,0,0.1,8.9,0.0,0,1,0,1.4,0,0,0,0,0,0,0.1,0,0.9,0.1,
