1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
7.6,27.4,0,0,2.3,22.9,0.3,0,29.2,0,5.3,0,1.8,22.9,0,21.6,11.2,26.9,0,29,0,0.3,0.5,0.5,0,0,1.8,1,0,10.2,0,0.0,1.0,47.2,54.4,0,9.7,0,0,0,0,0,19.3,1,0,84.9,0,0,4.4,0,9.5,1.3,0.0,23.7,0.0,0.3,0.0,0,16.7,0.0,82.5,0,0,7.8,5.1,4.1,0,0,9.5,5.6,0,32.3,0,1,0,23.4
8.4,1.5,0,0,0,29.7,9.4,0,0,0,0.8,0,0,13,0,5.1,0.3,15.7,14,0.8,0,0,10.7,16.5,0,0,0,0,11.4,0,0,3.8,2.3,38.1,2.5,0,0,0,0,0,0,0,7.4,0,0,2.5,28.7,0,0,0,4.9,1.6,1.0,41.5,1.0,0.0,0.0,67.6,17.8,1.0,66.8,0,0,0,3.4,8.6,0,0,4.9,0,0,0,0,0,0,80.3
0,0,0,0,1.3,120.9,11.4,2.5,31.2,0,0,81.8,0,2.3,0,58.9,0,3.8,3.3,30.7,0,4.1,3.8,10.4,0,5.1,0,0,18.5,0.3,0,0.0,6.1,90.4,0,0,0,0,26.4,0,0,19.3,0,0,0,1.6,0.9,0,0,0,0.0,0.9,0.0,19.1,0.0,0.0,85.9,2.5,10.1,3.4,3.2,0,20.3,0,0.3,13.6,0,0,0,0,0,0,0,0,0,24.5
2,0,1,0,0,58.2,0,0,0,0,13.7,0,0,20.3,0,8.6,0,6.4,0,0,5.6,0,6.6,0,0,26.9,2,1.8,10.9,0,0,0.0,0.0,21.6,0,0,0,0,4.1,0,0,0.5,0,2.5,11,0,0,0,0,0,0.1,0.0,0.0,18.3,0.0,6.8,23.8,24.6,11.5,6.6,0.0,15.8,12.6,0,0,7.9,1.8,0,0.1,15.6,0,0,31.7,0,0,16.1
0,3,9.9,0,20.3,3.8,0,0,0,0,0.8,0,0,9.7,0,5.1,1,5.3,14.2,0,0,6.4,0,6.4,0,10.2,4.3,0,10.4,0.5,1.3,0.0,9.4,11.7,0,0,0,0,0,0,0,14.2,0,9.9,3.8,0,0,12.3,0,0,1.2,12.1,0.0,3.4,0.6,2.0,5.2,6.3,13.7,0.0,0.0,0,19.2,0,0.7,6.2,4.5,0,1.2,0,0,0,6.9,0,0,3.2
0,0,1,0,10.9,0.3,0,0,31,0,0,0,0,30.2,9.9,0,4.6,0,0,0,0,31.5,19.3,0,0,0,3.3,0,0,22.1,1.3,0.0,8.9,0,10.2,0,0,11.7,0,0,0,8.4,0,5.1,0,3.2,0,0,1.9,0,0.0,0.0,0.0,11.1,0.0,0.0,1.0,1,8.2,8.0,0.0,99.2,0,0,4.4,12.4,1.2,0,0,0,6.3,0,5.6,0,0,0
0,0,2.5,0,15.5,4.1,0,0,6.4,0,1,0,0,39.9,0,0,3.3,69.6,3,0,0,0,0,0,0,0.5,0,0,0,0,3.6,0.0,15.5,0,0,0,2.3,34.3,4.1,0,1,0,0,3,0,0,0.3,0,4,0,1.7,1.0,0.0,20.7,6.2,14.9,36.5,0,19.5,25.5,15.6,5.2,0,0,23,12,6.1,0,1.7,0,0,0,0,0,0,83.2
0,0,23.9,68.8,0,0,0,2.8,16,0,2,0,36.1,10.7,0.8,0,17.8,1.3,0,0,0,7.4,0,1,0,14.7,0,0,0,0,15.7,2.3,0.0,0,0,0,9.9,10.2,0,1.3,0,2.5,30.2,1,0,0,1.9,0,0,0,0.0,28.1,0.0,0,17.3,9.6,0.0,14.6,15.7,20.0,30.6,0,0,4.3,14.3,8.5,1.2,6.2,0,63.8,0,0,4.8,0,0,2.5
0,1.3,0.3,2.5,0,0,8.6,0,5.1,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.5,0,19.8,6.4,0,37.3,0,1.8,0.0,0.0,0,1.8,0,1.8,14,10.7,0,0,3.3,74.2,0,3.7,0,0.4,1.9,0,0,0.0,0.0,11.6,0.0,0.0,24.2,0.0,1,13.6,3.5,36.8,0,0,0,13.7,11.9,0,34.9,0,14.2,0,0,15.7,0,0,0
0,0.3,0,0,0,0,0,0.5,1,0,0,0,12.2,8.6,0,0.8,0,18.8,11.7,0,0,0,2.8,4.3,0,46.5,2.8,0,89.2,0,35.8,3.6,0.0,0,0,16.8,1.3,16.8,0.5,0,0,10.2,0,0,6.6,4.2,0.9,0,0,0,9.9,0.0,0.0,0.0,0.0,18.7,0.0,1.7,9.4,39.6,1.2,0,49.8,0,10.3,7.6,0,95.2,9.9,0,6.7,0,33.9,6,0,0
